Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.2,-0.25,-0.09,-0.16,-0.09,-0.22,-0.2,-0.09,-.15,-.22,-.22,-.18,-.17,,,-0.11,-0.17,-.20
1881,-0.19,-0.15,0.02,0.04,0.07,-0.19,0.01,-0.04,-.16,-.22,-.18,-.07,-.09,-.10,-.18,0.04,-0.07,-.19
1882,0.16,0.14,0.05,-0.15,-0.13,-0.22,-0.16,-0.07,-.14,-.23,-.17,-.36,-.11,-.08,.08,-0.08,-0.15,-.18
1883,-0.29,-0.36,-0.12,-0.18,-0.18,-0.07,-0.07,-0.14,-.22,-.11,-.24,-.11,-.17,-.20,-.34,-0.16,-0.09,-.19
1884,-0.12,-0.08,-0.36,-0.4,-0.33,-0.35,-0.3,-0.28,-.27,-.25,-.33,-.30,-.28,-.27,-.10,-0.36,-0.31,-.28
1885,-0.58,-0.34,-0.27,-0.42,-0.45,-0.43,-0.33,-0.31,-.28,-.23,-.24,-.10,-.33,-.35,-.41,-0.38,-0.36,-.25
1886,-0.44,-0.51,-0.43,-0.28,-0.24,-0.34,-0.18,-0.31,-.24,-.28,-.28,-.26,-.32,-.30,-.35,-0.32,-0.28,-.27
1887,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-.26,-.36,-.27,-.33,-.37,-.36,-.52,-0.34,-0.29,-.30
1888,-0.34,-0.36,-0.42,-0.21,-0.22,-0.17,-0.1,-0.16,-.12,.01,.02,-.04,-.18,-.20,-.35,-0.28,-0.14,-.03
1889,-0.09,0.16,0.06,0.09,-0.01,-0.1,-0.08,-0.21,-.24,-.26,-.34,-.29,-.11,-.09,.01,0.05,-0.13,-.28
1890,-0.42,-0.45,-0.4,-0.3,-0.4,-0.25,-0.28,-0.39,-.37,-.25,-.44,-.32,-.36,-.35,-.39,-0.37,-0.31,-.35
1891,-0.34,-0.47,-0.18,-0.28,-0.17,-0.21,-0.18,-0.18,-.16,-.22,-.32,-.04,-.23,-.25,-.37,-0.21,-0.19,-.23
1892,-0.3,-0.13,-0.41,-0.34,-0.24,-0.22,-0.32,-0.27,-.17,-.14,-.43,-.39,-.28,-.25,-.15,-0.33,-0.27,-.25
1893,-0.82,-0.57,-0.23,-0.28,-0.34,-0.26,-0.14,-0.26,-.23,-.19,-.19,-.32,-.32,-.33,-.59,-0.28,-0.22,-.20
1894,-0.53,-0.3,-0.24,-0.45,-0.31,-0.41,-0.24,-0.24,-.28,-.24,-.27,-.22,-.31,-.32,-.38,-0.33,-0.3,-.26
1895,-0.42,-0.44,-0.34,-0.23,-0.28,-0.22,-0.18,-0.18,-.13,-.12,-.18,-.15,-.24,-.24,-.36,-0.28,-0.19,-.14
1896,-0.23,-0.13,-0.27,-0.31,-0.16,-0.12,-0.03,-0.06,-.08,.05,-.05,-.05,-.12,-.13,-.17,-0.25,-0.07,-.03
1897,-0.16,-0.18,-0.14,-0.03,-0.02,-0.12,-0.03,-0.1,-.09,-.14,-.19,-.21,-.12,-.10,-.13,-0.07,-0.08,-.14
1898,-0.03,-0.31,-0.52,-0.32,-0.31,-0.2,-0.23,-0.27,-.22,-.35,-.39,-.24,-.28,-.28,-.19,-0.38,-0.23,-.32
1899,-0.17,-0.39,-0.37,-0.21,-0.23,-0.32,-0.16,-0.09,-.06,-.04,.12,-.27,-.18,-.18,-.27,-0.27,-0.19,.01
1900,-0.37,-0.06,0.0,-0.09,-0.09,-0.1,-0.13,-0.09,-.06,.09,-.07,-.07,-.09,-.10,-.23,-0.06,-0.11,-.01
1901,-0.22,-0.12,0.05,-0.03,-0.15,-0.12,-0.15,-0.21,-.23,-.30,-.17,-.27,-.16,-.14,-.14,-0.04,-0.16,-.23
1902,-0.17,-0.09,-0.28,-0.28,-0.33,-0.32,-0.28,-0.3,-.29,-.30,-.37,-.42,-.29,-.27,-.18,-0.3,-0.3,-.32
1903,-0.25,-0.07,-0.24,-0.42,-0.4,-0.43,-0.35,-0.46,-.50,-.47,-.42,-.51,-.38,-.37,-.25,-0.35,-0.41,-.47
1904,-0.63,-0.59,-0.51,-0.51,-0.52,-0.49,-0.51,-0.49,-.56,-.40,-.18,-.34,-.48,-.49,-.58,-0.51,-0.5,-.38
1905,-0.35,-0.6,-0.22,-0.34,-0.3,-0.29,-0.27,-0.21,-.19,-.25,-.07,-.13,-.27,-.29,-.43,-0.29,-0.25,-.17
1906,-0.29,-0.3,-0.19,-0.05,-0.26,-0.2,-0.23,-0.2,-.29,-.21,-.38,-.15,-.23,-.23,-.24,-0.17,-0.21,-.29
1907,-0.44,-0.52,-0.28,-0.38,-0.47,-0.42,-0.35,-0.34,-.35,-.23,-.47,-.47,-.39,-.37,-.37,-0.37,-0.37,-.35
1908,-0.45,-0.33,-0.56,-0.45,-0.37,-0.38,-0.35,-0.46,-.36,-.44,-.52,-.49,-.43,-.43,-.42,-0.46,-0.4,-.44
1909,-0.73,-0.46,-0.54,-0.59,-0.54,-0.52,-0.45,-0.34,-.39,-.40,-.32,-.56,-.49,-.48,-.56,-0.56,-0.44,-.37
1910,-0.43,-0.41,-0.51,-0.43,-0.34,-0.39,-0.34,-0.37,-.39,-.42,-.58,-.68,-.44,-.43,-.47,-0.43,-0.36,-.46
1911,-0.63,-0.58,-0.62,-0.55,-0.52,-0.51,-0.43,-0.44,-.41,-.27,-.22,-.22,-.45,-.49,-.63,-0.56,-0.46,-.30
1912,-0.26,-0.15,-0.38,-0.18,-0.22,-0.24,-0.43,-0.55,-.58,-.58,-.40,-.44,-.37,-.35,-.21,-0.26,-0.41,-.52
1913,-0.41,-0.45,-0.43,-0.4,-0.44,-0.45,-0.37,-0.34,-.35,-.32,-.20,-.03,-.35,-.38,-.43,-0.42,-0.39,-.29
1914,0.04,-0.1,-0.24,-0.3,-0.22,-0.26,-0.23,-0.16,-.17,-.04,-.16,-.04,-.16,-.16,-.03,-0.25,-0.22,-.12
1915,-0.21,-0.04,-0.1,0.06,-0.06,-0.22,-0.13,-0.23,-.20,-.25,-.13,-.21,-.14,-.13,-.10,-0.04,-0.19,-.19
1916,-0.13,-0.15,-0.29,-0.3,-0.35,-0.49,-0.37,-0.28,-.36,-.34,-.46,-.82,-.36,-.31,-.16,-0.31,-0.38,-.39
1917,-0.57,-0.64,-0.64,-0.55,-0.55,-0.43,-0.25,-0.22,-.23,-.44,-.34,-.68,-.46,-.47,-.68,-0.58,-0.3,-.34
1918,-0.48,-0.34,-0.25,-0.44,-0.43,-0.36,-0.32,-0.32,-.17,-.06,-.12,-.30,-.30,-.33,-.50,-0.37,-0.33,-.12
1919,-0.21,-0.23,-0.21,-0.13,-0.28,-0.36,-0.29,-0.33,-.25,-.21,-.42,-.42,-.28,-.27,-.24,-0.21,-0.33,-.29
1920,-0.25,-0.27,-0.12,-0.24,-0.27,-0.36,-0.3,-0.26,-.22,-.27,-.27,-.47,-.27,-.27,-.31,-0.21,-0.31,-.25
1921,-0.05,-0.18,-0.23,-0.3,-0.3,-0.27,-0.15,-0.26,-.19,-.03,-.15,-.18,-.19,-.22,-.23,-0.28,-0.23,-.12
1922,-0.34,-0.45,-0.15,-0.23,-0.33,-0.3,-0.27,-0.33,-.35,-.32,-.14,-.20,-.28,-.28,-.32,-0.24,-0.3,-.27
1923,-0.27,-0.39,-0.34,-0.41,-0.33,-0.29,-0.31,-0.33,-.31,-.14,-.03,-.04,-.27,-.28,-.29,-0.36,-0.31,-.16
1924,-0.23,-0.23,-0.09,-0.3,-0.18,-0.26,-0.29,-0.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-0.19,-0.3,-.29
1925,-0.38,-0.39,-0.27,-0.26,-0.29,-0.33,-0.27,-0.21,-.20,-.18,.05,.06,-.22,-.26,-.40,-0.27,-0.27,-.11
1926,0.21,0.02,0.11,-0.13,-0.23,-0.26,-0.27,-0.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-0.08,-0.22,-.11
1927,-0.27,-0.18,-0.39,-0.3,-0.26,-0.27,-0.19,-0.23,-.12,-.01,-.06,-.33,-.22,-.21,-.25,-0.32,-0.23,-.06
1928,-0.02,-0.09,-0.25,-0.28,-0.3,-0.39,-0.19,-0.22,-.21,-.19,-.10,-.16,-.20,-.22,-.15,-0.28,-0.27,-.17
1929,-0.45,-0.58,-0.33,-0.41,-0.38,-0.43,-0.36,-0.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-0.37,-0.37,-.17
1930,-0.3,-0.27,-0.11,-0.25,-0.24,-0.22,-0.21,-0.15,-.15,-.12,.18,-.05,-.16,-.20,-.37,-0.2,-0.19,-.03
1931,-0.1,-0.2,-0.1,-0.23,-0.19,-0.08,-0.03,-0.03,-.06,.06,-.05,-.05,-.09,-.09,-.12,-0.17,-0.05,-.02
1932,0.16,-0.17,-0.18,-0.05,-0.17,-0.28,-0.24,-0.21,-.10,-.09,-.27,-.26,-.16,-.14,-.02,-0.13,-0.24,-.15
1933,-0.23,-0.29,-0.29,-0.24,-0.29,-0.33,-0.21,-0.23,-.29,-.24,-.30,-.44,-.28,-.27,-.26,-0.27,-0.26,-.28
1934,-0.21,-0.02,-0.29,-0.3,-0.09,-0.14,-0.1,-0.12,-.15,-.06,.04,-.02,-.12,-.16,-.22,-0.22,-0.12,-.06
1935,-0.34,0.15,-0.14,-0.37,-0.28,-0.26,-0.21,-0.21,-.21,-.06,-.26,-.17,-.20,-.19,-.07,-0.26,-0.23,-.18
1936,-0.27,-0.37,-0.2,-0.2,-0.16,-0.21,-0.09,-0.13,-.09,-.02,.02,-.01,-.15,-.16,-.27,-0.19,-0.15,-.03
1937,-0.07,0.03,-0.21,-0.16,-0.05,-0.05,-0.03,0.02,.09,.09,.08,-.07,-.03,-.02,-.02,-0.14,-0.02,.09
1938,0.08,0.04,0.1,0.07,-0.09,-0.17,-0.09,-0.05,.01,.15,.08,-.12,.00,.00,.02,0.02,-0.1,.08
1939,-0.05,-0.06,-0.17,-0.1,-0.04,-0.06,-0.05,-0.06,-.07,-.04,.07,.43,-.02,-.06,-.08,-0.1,-0.06,-.01
1940,0.0,0.08,0.09,0.17,0.11,0.12,0.13,0.07,.15,.11,.16,.31,.13,.14,.17,0.13,0.11,.14
1941,0.18,0.31,0.1,0.16,0.17,0.13,0.22,0.15,.02,.35,.23,.22,.19,.19,.27,0.14,0.17,.20
1942,0.29,0.02,0.06,0.1,0.11,0.05,0.01,-0.04,-.03,.02,.10,.12,.07,.07,.18,0.09,0.01,.03
1943,-0.01,0.17,-0.03,0.11,0.07,-0.05,0.09,0.01,.05,.23,.20,.23,.09,.08,.10,0.05,0.01,.16
1944,0.36,0.24,0.26,0.19,0.19,0.15,0.18,0.18,.28,.26,.11,.04,.20,.22,.28,0.21,0.17,.22
1945,0.1,0.01,0.06,0.19,0.06,0.01,0.04,0.26,.20,.18,.07,-.07,.09,.10,.05,0.1,0.1,.15
1946,0.15,0.02,0.01,0.06,-0.07,-0.21,-0.12,-0.2,-.08,-.08,-.05,-.31,-.07,-.05,.04,0.0,-0.18,-.07
1947,-0.06,-0.08,0.06,0.06,-0.02,-0.02,-0.04,-0.07,-.12,.07,.02,-.13,-.03,-.04,-.15,0.04,-0.04,-.01
1948,0.06,-0.14,-0.24,-0.12,-0.01,-0.05,-0.11,-0.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-0.12,-0.09,-.11
1949,0.07,-0.14,-0.02,-0.11,-0.1,-0.27,-0.13,-0.13,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-0.08,-0.17,-.10
1950,-0.26,-0.27,-0.08,-0.21,-0.11,-0.05,-0.08,-0.16,-.11,-.20,-.34,-.22,-.17,-.17,-.24,-0.13,-0.1,-.22
