Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.39,-0.53,-0.23,-0.3,-0.05,-0.18,-0.22,-0.25,-.25,-.30,-.43,-.42,-.30,,,-0.2,-0.22,-.33
1881,-0.3,-0.25,-0.06,-0.02,0.05,-0.34,0.09,-0.05,-.28,-.45,-.37,-.23,-.19,-.20,-.33,-0.01,-0.1,-.37
1882,0.26,0.21,0.02,-0.29,-0.22,-0.28,-0.28,-0.14,-.24,-.51,-.34,-.68,-.21,-.17,.08,-0.16,-0.23,-.36
1883,-0.57,-0.65,-0.15,-0.29,-0.25,-0.11,-0.06,-0.22,-.34,-.16,-.44,-.15,-.28,-.33,-.64,-0.23,-0.13,-.31
1884,-0.15,-0.1,-0.64,-0.59,-0.35,-0.41,-0.41,-0.51,-.45,-.45,-.57,-.46,-.42,-.40,-.14,-0.53,-0.44,-.49
1885,-1.0,-0.46,-0.24,-0.48,-0.58,-0.44,-0.34,-0.41,-.39,-.37,-.38,-.11,-.43,-.46,-.64,-0.43,-0.4,-.38
1886,-0.75,-0.84,-0.72,-0.37,-0.34,-0.37,-0.14,-0.43,-.33,-.32,-.41,-.23,-.44,-.43,-.57,-0.47,-0.31,-.35
1887,-1.09,-0.71,-0.45,-0.39,-0.26,-0.21,-0.25,-0.56,-.22,-.50,-.28,-.43,-.44,-.43,-.67,-0.37,-0.34,-.33
1888,-0.49,-0.61,-0.64,-0.22,-0.15,-0.03,0.0,-0.21,-.20,-.04,-.01,-.24,-.24,-.25,-.51,-0.34,-0.08,-.08
1889,-0.28,0.29,-0.02,0.16,-0.04,-0.07,-0.08,-0.21,-.30,-.42,-.62,-.55,-.18,-.15,-.08,0.03,-0.12,-.45
1890,-0.64,-0.58,-0.47,-0.25,-0.36,-0.16,-0.24,-0.39,-.35,-.10,-.63,-.47,-.39,-.39,-.59,-0.36,-0.26,-.36
1891,-0.47,-0.67,-0.16,-0.36,-0.16,-0.13,-0.13,-0.13,-.08,-.29,-.53,-.02,-.26,-.30,-.54,-0.23,-0.13,-.30
1892,-0.5,-0.19,-0.67,-0.46,-0.23,-0.06,-0.38,-0.33,-.21,-.28,-.83,-.67,-.40,-.35,-.24,-0.45,-0.26,-.44
1893,-1.52,-0.97,-0.33,-0.31,-0.44,-0.18,-0.15,-0.35,-.30,-.29,-.35,-.61,-.48,-.49,-1.05,-0.36,-0.23,-.31
1894,-0.92,-0.43,-0.22,-0.55,-0.27,-0.42,-0.21,-0.28,-.33,-.29,-.49,-.36,-.40,-.42,-.65,-0.34,-0.3,-.37
1895,-0.71,-0.82,-0.51,-0.2,-0.31,-0.22,-0.2,-0.28,-.07,-.11,-.14,-.24,-.32,-.33,-.63,-0.34,-0.23,-.11
1896,-0.37,-0.19,-0.51,-0.61,-0.17,0.07,-0.01,-0.12,-.14,.03,-.22,-.22,-.21,-.21,-.27,-0.43,-0.02,-.11
1897,-0.41,-0.43,-0.41,-0.06,0.12,-0.07,0.04,-0.07,-.07,-.17,-.27,-.30,-.18,-.17,-.35,-0.12,-0.04,-.17
1898,0.04,-0.46,-0.81,-0.29,-0.29,-0.09,-0.12,-0.19,-.18,-.38,-.52,-.27,-.30,-.30,-.24,-0.46,-0.13,-.36
1899,-0.14,-0.66,-0.6,-0.23,-0.25,-0.36,-0.17,-0.07,-.06,.04,.35,-.47,-.22,-.20,-.36,-0.36,-0.2,.11
1900,-0.62,-0.15,0.05,-0.11,-0.05,-0.11,-0.12,-0.09,-.04,.22,-.13,-.03,-.10,-.13,-.41,-0.04,-0.11,.02
1901,-0.34,-0.11,0.26,0.1,-0.12,0.0,0.01,-0.17,-.28,-.33,-.20,-.40,-.13,-.10,-.16,0.08,-0.05,-.27
1902,-0.14,-0.04,-0.38,-0.38,-0.41,-0.41,-0.33,-0.3,-.34,-.33,-.48,-.61,-.35,-.33,-.20,-0.39,-0.35,-.38
1903,-0.24,0.1,-0.18,-0.47,-0.44,-0.47,-0.44,-0.56,-.50,-.47,-.42,-.58,-.39,-.39,-.25,-0.36,-0.49,-.46
1904,-0.76,-0.62,-0.47,-0.51,-0.45,-0.49,-0.6,-0.55,-.64,-.40,-.10,-.35,-.49,-.51,-.65,-0.47,-0.55,-.38
1905,-0.42,-0.83,-0.24,-0.46,-0.29,-0.28,-0.22,-0.25,-.20,-.28,.08,-.17,-.30,-.31,-.53,-0.33,-0.25,-.13
1906,-0.57,-0.54,-0.21,0.03,-0.25,-0.12,-0.27,-0.18,-.25,-.19,-.41,.02,-.25,-.26,-.43,-0.14,-0.19,-.28
1907,-0.59,-0.74,-0.32,-0.46,-0.59,-0.52,-0.41,-0.39,-.41,-.20,-.57,-.59,-.48,-.43,-.43,-0.46,-0.44,-.39
