Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,0.0,0.03,0.06,-0.02,-0.13,-0.25,-0.17,0.06,-.05,-.15,.00,.05,-.05,,,-0.03,-0.12,-.07
1881,-0.09,-0.06,0.09,0.09,0.08,-0.05,-0.08,-0.02,-.04,-.01,-.01,.09,.00,.00,-.03,0.09,-0.05,-.02
1882,0.06,0.07,0.07,-0.02,-0.04,-0.15,-0.05,0.01,-.05,.03,-.02,-.08,-.01,.00,.07,0.0,-0.06,-.01
1883,-0.03,-0.09,-0.09,-0.08,-0.1,-0.02,-0.09,-0.05,-.11,-.06,-.05,-.06,-.07,-.07,-.06,-0.09,-0.05,-.07
1884,-0.09,-0.06,-0.1,-0.22,-0.32,-0.29,-0.22,-0.07,-.11,-.07,-.11,-.15,-.15,-.14,-.07,-0.21,-0.19,-.10
1885,-0.2,-0.23,-0.3,-0.36,-0.33,-0.43,-0.33,-0.22,-.19,-.13,-.11,-.10,-.24,-.25,-.20,-0.33,-0.33,-.15
1886,-0.15,-0.2,-0.17,-0.2,-0.15,-0.32,-0.21,-0.19,-.15,-.24,-.15,-.29,-.20,-.19,-.15,-0.18,-0.24,-.18
1887,-0.37,-0.44,-0.28,-0.31,-0.35,-0.28,-0.27,-0.17,-.30,-.22,-.25,-.23,-.29,-.29,-.37,-0.31,-0.24,-.26
1888,-0.21,-0.13,-0.21,-0.2,-0.29,-0.31,-0.2,-0.1,-.04,.06,.06,.14,-.12,-.15,-.19,-0.23,-0.21,.02
1889,0.07,0.02,0.12,0.02,0.01,-0.13,-0.07,-0.2,-.17,-.10,-.07,-.04,-.04,-.03,.08,0.05,-0.13,-.11
1890,-0.21,-0.33,-0.34,-0.35,-0.44,-0.33,-0.33,-0.39,-.38,-.40,-.26,-.17,-.33,-.32,-.20,-0.38,-0.35,-.35
1891,-0.22,-0.26,-0.21,-0.2,-0.18,-0.29,-0.23,-0.22,-.24,-.16,-.11,-.06,-.20,-.21,-.22,-0.19,-0.25,-.17
1892,-0.1,-0.07,-0.14,-0.22,-0.24,-0.39,-0.26,-0.21,-.13,-.01,-.04,-.12,-.16,-.16,-.07,-0.2,-0.29,-.06
1893,-0.14,-0.18,-0.12,-0.25,-0.25,-0.33,-0.14,-0.18,-.17,-.09,-.04,-.03,-.16,-.17,-.15,-0.21,-0.22,-.10
1894,-0.15,-0.16,-0.24,-0.36,-0.35,-0.4,-0.27,-0.21,-.23,-.18,-.04,-.07,-.22,-.22,-.11,-0.32,-0.29,-.15
1895,-0.13,-0.06,-0.17,-0.25,-0.24,-0.21,-0.15,-0.06,-.18,-.12,-.21,-.06,-.15,-.16,-.09,-0.22,-0.14,-.17
1896,-0.09,-0.08,-0.04,-0.02,-0.15,-0.29,-0.05,0.0,-.02,.08,.11,.12,-.04,-.05,-.08,-0.07,-0.11,.06
1897,0.08,0.07,0.11,0.0,-0.16,-0.16,-0.08,-0.12,-.10,-.10,-.10,-.13,-.06,-.04,.09,-0.02,-0.12,-.10
1898,-0.1,-0.17,-0.24,-0.34,-0.34,-0.3,-0.33,-0.36,-.26,-.32,-.26,-.21,-.27,-.26,-.13,-0.31,-0.33,-.28
