Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.17,-0.3,-0.05,-0.4,-0.12,-0.02,-0.82,-0.51,-0.31,-0.13,-0.1,-0.05,0.05,0.68
1881,-0.09,-0.19,0.0,-0.37,0.11,-0.08,-0.93,-0.47,-0.22,0.11,0.11,-0.07,-0.07,0.61
1882,-0.11,-0.21,-0.01,-0.32,-0.04,0.0,-1.41,-0.29,-0.15,-0.02,-0.05,0.0,0.04,0.64
1883,-0.17,-0.28,-0.07,-0.36,-0.16,-0.02,-0.18,-0.57,-0.28,-0.16,-0.15,-0.05,0.07,0.51
1884,-0.28,-0.42,-0.15,-0.61,-0.14,-0.14,-1.3,-0.65,-0.47,-0.11,-0.17,-0.2,-0.02,0.66
1885,-0.33,-0.43,-0.24,-0.66,-0.13,-0.28,-1.51,-0.69,-0.46,-0.05,-0.2,-0.34,-0.15,0.83
1886,-0.32,-0.44,-0.2,-0.58,-0.19,-0.22,-1.59,-0.52,-0.42,-0.2,-0.18,-0.21,-0.2,0.6
1887,-0.37,-0.44,-0.29,-0.54,-0.29,-0.29,-1.77,-0.53,-0.31,-0.28,-0.3,-0.28,-0.26,0.33
1888,-0.18,-0.24,-0.12,-0.43,0.1,-0.29,-1.31,-0.44,-0.26,0.08,0.13,-0.32,-0.22,0.17
1889,-0.11,-0.18,-0.04,-0.31,0.08,-0.17,-0.69,-0.24,-0.29,0.03,0.14,-0.16,-0.15,0.46
1890,-0.36,-0.39,-0.33,-0.47,-0.37,-0.23,-1.14,-0.57,-0.28,-0.26,-0.48,-0.19,-0.27,0.16
1891,-0.23,-0.26,-0.2,-0.44,-0.08,-0.22,-1.12,-0.36,-0.37,0.01,-0.17,-0.19,-0.24,-0.15
1892,-0.28,-0.4,-0.16,-0.44,-0.3,-0.09,-1.12,-0.67,-0.18,-0.34,-0.27,0.01,-0.21,0.1
1893,-0.32,-0.48,-0.16,-0.52,-0.37,-0.05,-0.66,-0.56,-0.48,-0.43,-0.31,0.06,-0.2,-0.03
1894,-0.31,-0.4,-0.22,-0.34,-0.34,-0.24,-0.97,-0.35,-0.2,-0.48,-0.19,-0.16,-0.35,-0.37
1895,-0.24,-0.32,-0.15,-0.42,-0.08,-0.26,-0.73,-0.55,-0.28,-0.15,0.0,-0.21,-0.32,-0.57
1896,-0.12,-0.21,-0.04,-0.37,0.09,-0.16,-0.93,-0.39,-0.23,0.06,0.14,-0.17,-0.13,0.27
1897,-0.12,-0.18,-0.06,-0.37,0.17,-0.24,-0.59,-0.49,-0.26,0.14,0.2,-0.21,-0.27,0.41
1898,-0.28,-0.3,-0.27,-0.37,-0.22,-0.27,-1.19,-0.26,-0.25,-0.18,-0.27,-0.29,-0.21,0.39
1899,-0.18,-0.22,-0.14,-0.26,-0.12,-0.19,-1.07,-0.12,-0.16,-0.16,-0.08,-0.17,-0.22,0.59
1900,-0.09,-0.1,-0.07,-0.22,0.17,-0.31,-0.58,-0.17,-0.16,0.09,0.26,-0.3,-0.29,0.28
1901,-0.16,-0.13,-0.18,-0.17,-0.04,-0.31,-0.4,-0.12,-0.16,-0.06,-0.01,-0.28,-0.33,0.27
1902,-0.29,-0.35,-0.22,-0.56,-0.04,-0.35,-1.56,-0.52,-0.33,-0.02,-0.05,-0.29,-0.43,-0.04
