Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.05,-.40,-.12,-.02,-.82,-.51,-.31,-.13,-.10,-.05,.05,.68
1881,-.09,-.19,.00,-.37,.11,-.08,-.93,-.47,-.22,.11,.11,-.07,-.07,.61
1882,-.11,-.21,-.01,-.32,-.04,.00,-1.41,-.29,-.15,-.02,-.05,.00,.04,.64
1883,-.17,-.28,-.07,-.36,-.16,-.02,-.18,-.57,-.28,-.16,-.15,-.05,.07,.51
1884,-.28,-.42,-.15,-.61,-.14,-.14,-1.30,-.65,-.47,-.11,-.17,-.20,-.02,.66
1885,-.33,-.43,-.24,-.66,-.13,-.28,-1.51,-.69,-.46,-.05,-.20,-.34,-.15,.83
1886,-.32,-.44,-.20,-.58,-.19,-.22,-1.59,-.52,-.42,-.20,-.18,-.21,-.20,.60
1887,-.37,-.44,-.29,-.54,-.29,-.29,-1.77,-.53,-.31,-.28,-.30,-.28,-.26,.33
1888,-.18,-.24,-.12,-.43,.10,-.29,-1.31,-.44,-.26,.08,.13,-.32,-.22,.17
1889,-.11,-.18,-.04,-.31,.08,-.17,-.69,-.24,-.29,.03,.14,-.16,-.15,.46
1890,-.36,-.39,-.33,-.47,-.37,-.23,-1.14,-.57,-.28,-.26,-.48,-.19,-.27,.16
1891,-.23,-.26,-.20,-.44,-.08,-.22,-1.12,-.36,-.37,.01,-.17,-.19,-.24,-.15
1892,-.28,-.40,-.16,-.44,-.30,-.09,-1.12,-.67,-.18,-.34,-.27,.01,-.21,.10
1893,-.32,-.48,-.16,-.52,-.37,-.05,-.66,-.56,-.48,-.43,-.31,.06,-.20,-.03
1894,-.31,-.40,-.22,-.34,-.34,-.24,-.97,-.35,-.20,-.48,-.19,-.16,-.35,-.37
1895,-.24,-.32,-.15,-.42,-.08,-.26,-.73,-.55,-.28,-.15,.00,-.21,-.32,-.57
1896,-.12,-.21,-.04,-.37,.09,-.16,-.93,-.39,-.23,.06,.14,-.17,-.13,.27
1897,-.12,-.18,-.06,-.37,.17,-.24,-.59,-.49,-.26,.14,.20,-.21,-.27,.41
